Compound ChEMBL ID and structure,,SMILES,Compound generic name, Molar mass (g/mol),Basic pKa,Acidic pKa,LogD,Number of aromatic rings,Melanin binding Fraction unbound (%)
CHEMBL1469070,,c1ccc(cc1)CN2CCC(CC2)NC(=O)COc3ccc4ccc(=O)oc4c3,,392.45,8.7,,1.9,2,0.2
CHEMBL1471315,,CO/N=C/NC(=O)NOCc1ccc(cc1Cl)Cl,,292.12,7.1,10.1,2.4,1,25.8
CHEMBL1474889,,CC(CN(C)C)C(C)(Cc1ccc(cc1)Cl)O,CLOBUTINOL,255.78,9.5,,1.2,1,28.8
CHEMBL1477274,,CCC1(CCCCN(C1)C)c2cccc(c2)O.Cl,MEPTAZINOL HYDROCHLORIDE,269.81,9.2,9.9,1.2,1,76.7
CHEMBL1488566,,CN1CCCN(CC1)Cc2ccc(cc2)SC,,250.4,8.4,,1.3,1,0.6
CHEMBL1496027,,c1ccc2c(c1)c(=O)n(cn2)CC(=O)NCc3ccc4c(c3)OCO4,,337.33,,,1.4,2,15.3
CHEMBL1497019,,COc1ccc2c(c1)sc3n2cc(n3)c4ccccc4,,280.34,4.3,,3.5,4,0.9
CHEMBL1510596,,CCn1c2ccccc2nc1CCCNC(=O)c3ccco3,,297.35,6.7,11.8,2.7,3,10.7
CHEMBL1511942,,Cc1c(n(c2c1c(ncn2)NCCCN(C)C)c3ccccc3)C,,323.44,9.2,,1.6,3,3.1
CHEMBL1531641,,c1ccc2c(c1)nc(s2)c3cccc(c3)N4C(=O)c5ccc(cc5C4=O)C(=O)O,,400.41,2.1,2.9,0.8,4,14.5
CHEMBL1532190,,Cc1nn2cc(nc2s1)c3ccc(cc3)Cl.Br,,330.63,4.7,,3.2,3,6
CHEMBL1539718,,Cc1ccc2c(c1)c(c3c(n2)N(CC3)c4ccccc4)N.C(=O)(C(=O)O)O,,365.38,9.2,,2.5,3,0.1
CHEMBL1543632,,c1ccc(cc1)Nc2ccc3ccccc3c2,,219.28,2.3,,4,3,8
CHEMBL1563428,,COc1ccc(cc1)NC(=O)c2cc(on2)c3ccco3,,284.27,,11.5,3.2,3,29.2
CHEMBL1565691,,CC(=O)Nc1ccc2c(c1)ncn2c3ccccc3,,251.28,4.8,12,2.5,3,8.9
CHEMBL1592490,,CCc1ccc2cccc3c2c1N=CN3C,,210.27,6.7,,2.9,2,0.5
CHEMBL1600790,,COC(=O)c1cc2c(nc3ccccn3c2=O)n(c1=N)Cc4cccnc4,,361.35,9.7,,0.6,1,0.2
CHEMBL1601217,,c1ccc(cc1)C(=O)CSc2nnc(o2)c3ccco3,,286.31,,,2.8,3,7.3
CHEMBL1625831,,c1cc(c(cc1Br)C2=CSC3=NCCN23)O,,297.17,8.2,7.6,1.8,1,2
CHEMBL1626090,,CCN(CC)c1c(c(c2ccccc2n1)N)c3ccccc3,,291.39,9.5,,2.7,3,0.6
CHEMBL1808211,,c1ccc(cc1)c2nc3ccccc3c(n2)N4CCOCC4,,291.35,5.7,,3.4,3,1.8
CHEMBL1872270,,c1ccc(cc1)Cn2cncc2c3ccccc3O,,250.3,5.8,9.5,3,3,13.7
CHEMBL2030633,,COc1ccc(cc1OC)CN2CCCC2,,221.3,8.9,,0.6,1,25.5
CHEMBL2103863,,CN(C)Cc1c2ccccc2oc1C(=O)NCCOc3ccc(cc3)C(=O)NO,ABEXINOSTAT,397.42,8,8.5,1.7,3,0.2
CHEMBL2104110,,C1CC=C(C1)C2(CCCC2=O)CCN3CCOCC3,CYCLEXANONE,263.38,7,,2.4,0,62.8
CHEMBL2104164,,c1ccc2c(c1)CN(C(=O)O2)CC(=O)N,CAROXAZONE,206.2,,,0.4,1,94.6
CHEMBL2105338,,CCCCCCn1c(=O)c2c(ncn2C)n(c1=O)C,PENTIFYLLINE,264.32,,,2.4,1,45.7
CHEMBL2105458,,CN1CCC(CC1)N(Cc2cccs2)c3ccccc3,THENALIDINE,286.43,9.3,,2,2,7
CHEMBL2111119,,CN(C)C1CCCc2c1c(ccc2OC)Cl,LOMETRALINE,239.74,7.9,,2.3,1,21.8
CHEMBL2133677,,Cc1ccc(cc1)NC(=O)Cn2c3ccccc3c(=O)n(c2=O)Cc4ccc5c(c4)OCO5,,443.45,,,3.4,3,29.7
CHEMBL2347651,,Cc1ccc(cc1)C(=O)N(CCCN)[C@@H](c2nc3cc(ccc3c(=O)n2Cc4ccccc4)Cl)C(C)C.CS(=O)(=O)O,,613.17,9.9,,2.6,3,3.5
CHEMBL2354637,,CCC(CC)(c1ccccc1)C(=O)OCCOCCN(CC)CC.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,,527.6,8.8,,2.4,1,42.8
CHEMBL3199813,,c1cc(sc1/C=N/n2cnnc2)Br,,257.11,6.3,,1.1,2,13.1
CHEMBL3207989,,Cc1nnc(n1/N=C/c2cccnc2)C,,201.23,5.5,,0.5,2,66.7
CHEMBL3288556,,Cc1ccn2cc(nc2c1)c3ccc(cc3)[N+](=O)[O-],,253.26,5.4,,3,3,2
CHEMBL3354415,,CCCCCSc1nc2c(c3ccccc3n2C)nn1,,286.4,6.2,,3.5,3,3.7
CHEMBL3444073,,Cc1c2c([nH]n1)NC(=O)CSC2c3ccsc3,,265.35,11.6,8.6,0.8,1,65.3
CHEMBL3450259,,CN1CCN(CC1)Cc2c3cccnc3[nH]c2c4ccco4,,296.37,8.8,,1.1,3,0.3
CHEMBL4,,CC1COc2c3n1cc(c(=O)c3cc(c2N4CCN(CC4)C)F)C(=O)O,OFLOXACIN,361.37,7.9,6.1,-0.4,1,0.8
CHEMBL22,,COc1cc(cc(c1OC)OC)Cc2cnc(nc2N)N,TRIMETHOPRIM,290.32,7,,0.6,2,5.5
CHEMBL30,,Cc1c(nc[nH]1)CSCCN/C(=N\C#N)/NC,CIMETIDINE,252.34,6.4,,0.5,1,12.3
CHEMBL33,,C[C@H]1COc2c3n1cc(c(=O)c3cc(c2N4CCN(CC4)C)F)C(=O)O,LEVOFLOXACIN,361.37,7.9,6.1,-0.4,1,0.6
CHEMBL451,,CNC1=Nc2ccc(cc2C(=[N+](C1)[O-])c3ccccc3)Cl,CHLORDIAZEPOXIDE,299.75,4.6,,2.4,2,60.2
CHEMBL8184,,CCCCNc1c2cnn(c2ncc1C(=O)OCC)CC,CARTAZOLATE,290.36,4.6,,2.9,2,19.8
CHEMBL8030,,Cc1cccc(c1)Oc2c[nH]c(=O)nc2,TOLIMIDONE,202.21,,7.3,1.9,2,61.1
CHEMBL63,,COc1ccc(cc1OC2CCCC2)C3CC(=O)NC3,ROLIPRAM,275.34,,,1.9,1,74.4
CHEMBL275446,,Cc1c([nH]cn1)CSCCNC(=S)NC,METIAMIDE,244.38,6.4,10.4,1.2,1,15.4
CHEMBL12980,,c1ccc(cc1)C(c2ccccc2)(C(=O)OC3CN4CCC3CC4)O,QUINUCLIDINYL BENZILATE,337.41,8.4,,2.1,2,49.8
CHEMBL14112,,c1cc(ccc1c2c(n(cn2)CCCN3CCOCC3)c4ccncc4)F,SB-210313,366.43,6.6,,2.7,3,3.2
CHEMBL279812,,CCCCOc1ccc2c3ccnc(c3[nH]c2c1)C,,254.33,7.6,,3.8,3,0.2
CHEMBL14638,,c1cc(ccc1C(=O)C2CC2)OCCCc3cnc[nH]3,CIPROXIFAN,270.33,6.9,,2.6,2,0.5
CHEMBL108,,c1ccc2c(c1)C=Cc3ccccc3N2C(=O)N,CARBAMAZEPINE,236.27,,,2.1,2,90.8
CHEMBL110,,c1ccc(cc1)CNC(=O)Cn2ccnc2[N+](=O)[O-],BENZNIDAZOLE,260.25,,,1.1,2,91.8
CHEMBL562,,C[C@@H]1CC(=O)C=C([C@]12C(=O)c3c(cc(c(c3O2)Cl)OC)OC)OC,GRISEOFULVIN,352.77,,,2.3,1,68.8
CHEMBL18504,,CCS(=O)(=O)Oc1ccc2c(c(c(=O)oc2c1)C)C,ESUPRONE,282.31,,,2.3,1,16.1
CHEMBL628,,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(c1=O)C,PENTOXIFYLLINE,278.31,,,-0.3,1,51.3
CHEMBL638,,C[C@@H](c1c(cncn1)F)[C@](Cn2cncn2)(c3ccc(cc3F)F)O,VORICONAZOLE,349.31,,,1.8,3,96.6
CHEMBL698,,CCCCNc1ccc(cc1)C(=O)OCCN(C)C,TETRACAINE,264.36,8.6,,2,1,2.3
CHEMBL700,,c1ccnc(c1)NS(=O)(=O)c2ccc(cc2)N,SULFAPYRIDINE,249.29,3.5,8.4,0.1,2,40.2
CHEMBL710,,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)NC(C)(C)C)CC[C@@H]4[C@@]3(C=CC(=O)N4)C,FINASTERIDE,372.54,,,3.3,0,30
CHEMBL744,,c1cc2c(cc1OC(F)(F)F)sc(n2)N,RILUZOLE,234.2,4.2,,2.9,2,47.6
CHEMBL287677,,c1cc(ccc1C#N)[C@H]2CCCc3n2cnc3,R-FADROZOLE,223.27,6.4,,1.8,2,27.2
CHEMBL761,,c1ccc2c(c1)cccc2CC3=NCCN3,NAPHAZOLINE,210.27,10.4,,-0.7,2,3.3
CHEMBL32571,,c1cc(ccc1C2CC(=O)c3c(cc(cc3O2)O)O)O,,272.25,,7.7,2.2,2,94
CHEMBL416578,,COC[C@H]1CN(C(=O)O1)c2ccc(cc2)OCC[C@H](C(F)(F)F)O,BEFLOXATONE,349.3,,,2.5,1,69.4
CHEMBL285674,,c1ccc(cc1)C2=NCc3nncn3-c4c2cc(cc4)Cl,ESTAZOLAM,294.74,6,,2.3,3,73.6
CHEMBL36666,,c1cc(cc(c1)F)c2nc(c(c(n2)N)CN)c3ccc(cc3Cl)Cl,,363.22,7.5,,2.9,3,2.7
CHEMBL845,,c1ccc2c(c1)C(=Nc3cc(ccc3N2)Cl)N4CCNCC4,N-DESMETHYLCLOZAPINE,312.8,8.7,,1.7,2,7.4
CHEMBL296019,,CN1CC[C@@H]([C@H](C1)C(=O)OC)c2ccc(cc2)Cl,,267.75,8.3,,1.6,1,37.1
CHEMBL42500,,c1ccc(c(c1)C(=O)NC(=O)Nc2cccc(c2)C3CN4CCSC4=N3)[N+](=O)[O-],,411.43,7.7,8.3,2.1,2,0.4
CHEMBL297302,,c1ccc2c(c1)[nH]c(=O)n2C3CCN(CC3)CCCC(=O)c4ccc(cc4)F,BENPERIDOL,381.44,8,11.2,2.5,2,0.2
CHEMBL296419,,COc1ccc(cc1)CCN2CCC(CC2)Nc3nc4ccccc4n3Cc5ccc(cc5)F,ASTEMIZOLE,458.57,8.4,,3.8,4,0.1
CHEMBL45346,,CN1Cc2c(ncn2-c3ccc(cc3C1=O)Cl)COC,,291.73,4.8,,0.9,2,64.1
CHEMBL878,,Cc1ccccc1N2C(Nc3cc(c(cc3C2=O)S(=O)(=O)N)Cl)C,METOLAZONE,365.83,,9.7,2,2,65.2
CHEMBL48966,,c1ccc2c(c1)[nH]c(n2)CCc3[nH]c4ccccc4n3,,262.31,6.6,,3.1,4,0.8
CHEMBL49532,,Cc1ccn2cc(nc2c1)c3ccc(cc3)OCCCN4CCCCC4,,349.47,9.5,,2,3,0.1
CHEMBL49943,,c1ccc(cc1)C(CCN2CCCCC2)c3ccccc3,FENPIPRANE,279.42,9.3,,2.6,2,32.1
CHEMBL301707,,COc1ccccc1N2CCN(CC2)CCn3c(=O)c4c(c5ccccc5[nH]4)[nH]c3=O,,419.48,3.7,8.3,2.2,3,0.1
CHEMBL294264,,c1ccc2c(c1)C(=O)c3c(cc(c(c3C2=O)O)O)O,PURPURIN,256.21,,7.4,1.9,2,79.3
CHEMBL58792,,COc1ccccc1N2CCN(CC2)CCCC(=O)c3ccc(cc3)F,FLUANISONE,356.43,7.2,,3.1,2,1
CHEMBL65802,,c1cc(ccc1c2ccc(nc2)c3ccc(cc3)O)O,,263.29,4,9.1,3.4,3,1
CHEMBL431367,,c1ccc(cc1)C2=CCN(CC2)CCCCc3c[nH]c4c3cc(cc4)O,ROXINDOLE,346.47,9.5,10.9,2.6,3,0.3
CHEMBL70418,,CN1c2ccc(cc2N(C(=O)CC1=O)c3ccccc3)Cl,CLOBAZAM,300.74,,10.2,2.5,2,88.7
CHEMBL75267,,c1ccc(cc1)c2cc(=O)c3ccc(c(c3o2)O)O,"7,8-DIHYDROXYFLAVONE",254.24,,4.4,2.2,2,0.8
CHEMBL82833,,COc1cc(c(cc1C(=O)CCC2CCNCC2)Cl)N,,296.79,10.4,,0.1,1,33.9
CHEMBL311469,,CC(=O)Nc1ccc-2c(c1)Cc3c2cccc3,2-ACETYLAMINOFLUORENE,223.27,,,3,2,5
CHEMBL327783,,CCOC(=O)C12CC1/C(=N\O)/c3ccccc3O2,,247.25,,10.5,1.7,1,82.3
CHEMBL96051,,c1cc2cccc3c2c(c1)C(=O)N(C3=O)CCCCCC(=O)NO,SCRIPTAID,326.35,,9.4,2.2,2,1.1
CHEMBL319000,,CN(C)[C@@H]1CCN(C1)CCCOc2ccc(cc2)c3ccc(cc3)C#N,,349.47,8.5,,2.1,2,0.1
CHEMBL110094,,CC1(c2ccccc2C(=CCCN(C)C)c3c1cccc3)C,MELITRACEN,291.43,8.8,,2.9,2,3.4
CHEMBL320341,,C[C@@H]1C(=O)NC2=Nc3cccc(c3CN12)Cl,QUAZINONE,235.67,4,,2.2,1,16.8
CHEMBL118478,,c1cc2c(cc1/C=C/C(=O)N3CCCCC3)OCO2,ILEPCIMIDE,259.3,,,2.5,1,39.3
CHEMBL129529,,CCCCN(CCCC)CCCOC(=O)c1ccc(cc1)N,BUTACAINE,306.44,9.2,,2.1,1,1.7
CHEMBL1220,,CCS(=O)(=O)CCn1c(ncc1[N+](=O)[O-])C,TINIDAZOLE,247.27,,,0.2,1,93.7
CHEMBL136800,,c1cc2c(cc1C(=O)N3CCCCC3)nccn2,,241.29,3.2,,1.3,2,73.9
CHEMBL356066,,c1ccc2c(c1)c(c[nH]2)CCN(CCO)Cc3ccc(cc3)/C=C/C(=O)NO,DACINOSTAT,379.45,8.4,9,1.4,3,0.1
CHEMBL145149,,Cc1cccc2c1c(=O)oc(n2)Nc3ccccc3,,252.27,3.3,,3.2,2,9.8
CHEMBL146817,,COCN1c2ccc(cc2C(=NCC1=O)c3ccccc3)[N+](=O)[O-],MOTRAZEPAM,325.32,2.1,,2.3,2,59.6
CHEMBL146842,,c1cc(ccc1OCC(=O)NCCCn2ccnc2)Cl,,293.75,6.6,,2.1,2,5.9
CHEMBL1282,,CC(C)Cn1cnc2c1c3ccccc3nc2N,IMIQUIMOD,240.3,7.4,,2.3,3,83.2
CHEMBL1291,,Cc1cc(c(c(c1OC(=O)C)C)C)OCC(CNC(C)C)O,METIPRANOLOL,309.4,9.3,,-0.3,1,12.2
CHEMBL154166,,CC(=O)Nc1ccc(cc1)S(=O)(=O)c2ccc(cc2)NC(=O)C,ACEDAPSONE,332.37,,,1.6,2,34.2
CHEMBL346033,,c1ccc(cc1)Nc2cc-3nc4ccccc4n(c3cc2=N)c5ccccc5,,362.43,8.9,,2.9,3,0.2
CHEMBL347036,,CCCC(c1ccccc1)(c2ccccc2)C(=O)OCCN(CC)CC.Cl,PROADIFEN HYDROCHLORIDE,389.96,8.5,,3.3,2,16.5
CHEMBL158466,,Cc1cc(nc(n1)N)NCc2ccccc2,,214.27,7.4,,1.7,2,4.8
CHEMBL162036,,CC(=O)Nc1ccc(cc1)OC(=O)c2ccccc2OC(=O)C,BENORILATE,313.3,,,2.6,2,38.5
CHEMBL354663,,c1cc(ccc1N)Oc2ccc(cc2)N,,200.24,4.2,,1.9,2,0.2
CHEMBL348856,,c1cc(ccc1N)Sc2ccc(cc2)N,"4,4'-THIODIANILINE",216.3,4.1,,2,2,3.8
CHEMBL171718,,c1ccc(cc1)N2CCN(CC2)CCO,,206.28,7.5,,1,1,31.2
CHEMBL174487,,c1cc(ccc1CSc2nnc(s2)N)[N+](=O)[O-],,268.32,2.6,,2.2,2,21.5
CHEMBL174535,,CN1c2ccc(cc2C(=NCC1=O)c3ccccc3)C#C,,274.32,3.7,,2.6,2,59.8
CHEMBL179702,,C[C@@H]1CC[C@H](N1CCCOc2ccc(cc2)c3ccc(cc3)C(=O)N4CCOCC4)C,,422.56,9.8,,1,2,0.9
CHEMBL189584,,CCN(CC)CCCCNc1ncc2cc(c(nc2n1)NC(=O)NC(C)(C)C)c3cc(cc(c3)OC)OC,PD-173074,523.67,10.1,11.6,2.2,3,0.8
CHEMBL189977,,c1ccc(cc1)c2c3c(ncnc3oc2c4ccccc4)N,,287.32,5,,3.6,4,3.9
CHEMBL189963,,Cc1c2cnc(nc2n(c(=O)c1C(=O)C)C3CCCC3)Nc4ccc(cn4)N5CCNCC5,PALBOCICLIB,447.53,8.7,,1.7,2,0.2
CHEMBL1385,,COc1ccc2c3c1O[C@@H]4[C@@]3(CCNC2)C=C[C@@H](C4)O,,273.33,8.8,,0.1,1,27
CHEMBL201461,,CS(=O)(=O)N1CCc2c(c(nn2CC(CN3CCC(CC3)N4c5ccccc5OCC4=O)O)c6ccc(cc6)C(F)(F)F)C1,,633.68,7.5,,2.7,3,0.6
CHEMBL211265,,c1ccc(cc1)COCc2c(c(nc(n2)N)N)c3ccc(cc3)NC(=O)C4CC4,,389.45,6.6,,2.2,3,2.3
CHEMBL218490,,CCN[C@H]1C[C@@H](S(=O)(=O)c2c1cc(s2)S(=O)(=O)N)C,DORZOLAMIDE,324.44,8.7,8,-0.1,1,61.3
CHEMBL220491,,CCN[C@H]1CN(S(=O)(=O)c2c1cc(s2)S(=O)(=O)N)CCCOC,BRINZOLAMIDE,383.51,7.3,8.1,0.5,1,70.8
CHEMBL375673,,c1cc(ccc1Nc2ccnc3c2ccc(c3)Cl)O,,270.71,7.1,9.2,3.5,3,0.2
CHEMBL243468,,CC(C)c1nc2ccc(cc2c(=O)n1C[C@H]3CCCN(C3)C(C)C)c4ccc(cc4)Cl,,438,9.4,,3,2,0.4
CHEMBL243043,,c1ccc(cc1)COc2ccc3c(c2)c4c([nH]3)C(=O)NCC4,,292.33,,11.1,2.8,3,3.3
CHEMBL428909,,CN(C)c1ccnc2c1c3c(s2)c(=O)n(cn3)c4ccc(cc4)OC,,352.41,6,,2.7,3,3.2
CHEMBL399510,,CCN(CC)CCNC(=O)c1cc(c(cc1OC)N)Br,BROMOPRIDE,344.25,8.7,,0.5,1,2.9
CHEMBL252556,,CC1=C(C(=O)C(=C(C1=O)OC)OC)CCCCCCCCCCO,IDEBENONE,338.44,,,3.3,0,7
CHEMBL250232,,c1cc2c(c(c1)OCc3ccc(cc3)Cl)c(nc(n2)N)N,,300.74,7.4,,2.6,3,0
CHEMBL1521,,CCN(c1cccc(c1)c2ccnc3n2ncc3C#N)C(=O)C,ZALEPLON,305.33,,,1.3,3,36.1
CHEMBL248702,,CCN[C@@H](C)Cc1cccc(c1)C(F)(F)F,DEXFENFLURAMINE,231.26,9.8,,1.4,1,49.4
CHEMBL403031,,CN(C)CCc1c[nH]c2c1cc(cc2)Br,,267.16,9.2,,1.4,2,1.9
CHEMBL255863,,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)C(=O)Nc4cc(cc(c4)n5cc(nc5)C)C(F)(F)F,NILOTINIB,529.52,6.1,11,3.9,5,1
CHEMBL1532,,CCC1Nc2cc(c(cc2C(=O)N1)S(=O)(=O)N)Cl,QUINETHAZONE,289.74,,9.2,1.4,1,33
CHEMBL262075,,CC(=O)N(C)c1cccc(c1)c2ccnc3n2ncc3C(=O)c4cccs4,INDIPLON,376.43,,,1.9,4,3.1
CHEMBL1546,,CC(Cc1ccc(cc1)O)N,HYDROXYAMPHETAMINE,151.21,9.7,10.4,-0.5,1,30.7
CHEMBL572878,,Cc1cc(n[nH]1)Nc2cc(nc(n2)Sc3ccc(cc3)NC(=O)C4CC4)N5CCN(CC5)C,TOZASERTIB,464.59,8.3,,2.6,3,0.1
CHEMBL510090,,COc1cc2ccnc3c2c(c1OC)-c4ccccc4C3=O,LYSICAMINE,291.3,4.2,,3.3,3,0.1
CHEMBL510348,,Cc1c2c(ccn1)c3ccccc3[nH]2.Cl,HARMANE HYDROCHLORIDE,218.68,7.6,,2.2,3,0.5
CHEMBL452861,,CC(C)NC[C@@H](COc1cccc2c1cccc2)O,(-)-PROPANOLOL ,259.34,9.3,,1.1,2,2.7
CHEMBL470509,,COc1ccc(cc1)NC(=S)N/N=C/c2ccccn2,,286.35,3.7,9.3,2.5,2,0.9
CHEMBL476509,,Cc1c(sc(n1)c2ccncc2)C(=O)OC,,234.27,4.3,,2.7,2,6.4
CHEMBL523626,,c1ccnc(c1)c2csc(n2)c3ccccn3,,239.3,3.5,,3.1,3,2.9
CHEMBL451082,,c1ccc(cc1)Cn2c3ccccc3c(=O)c4c2cccc4,,285.34,2.3,,3.8,3,6.2
CHEMBL498228,,CN(C)[C@@H]1CCN(C1)CCCOc2c(cc(cc2F)c3ccc(cc3)C#N)F,,385.45,8.5,,2.3,2,0.2
CHEMBL497031,,CC(C)n1c2ccc(cc2cc1C(=O)N3CCC(CC3)(F)F)OC4CCN(CC4)C(C)C,,447.56,9.7,,1.7,2,18.4
CHEMBL555670,,c1cc2c(c[nH]c2nc1)CN3CCN(CC3)c4ccc(cc4)Cl.Cl,,363.28,7,,3.1,3,0.3
CHEMBL544624,,Cc1ccc(cc1)c2c(n3ccsc3n2)/C=N/NC(=N)N.Cl,,334.83,12.6,,0.2,3,0.3
CHEMBL1709,,CN[C@H]1CC[C@H](c2c1cccc2)c3ccc(c(c3)Cl)Cl.Cl,SERTRALINE HYDROCHLORIDE,342.69,9.8,,3,2,2.3
CHEMBL1713,,CN(C)CCCN1c2ccccc2Sc3c1cc(cc3)Cl.Cl,CHLORPROMAZINE HYDROCHLORIDE,355.33,9.1,,3.2,2,0.9
CHEMBL1719,,CN(C)CC/C=C\1/c2ccccc2COc3c1cc(cc3)CC(=O)O.Cl,OLOPATADINE HYDROCHLORIDE,373.87,8.8,4,0.3,2,66.5
CHEMBL538838,,CN(C)CCN1C(=O)c2cccc3c2c(cc(c3)N)C1=O.Cl,,319.79,6.6,,1.4,2,2.3
CHEMBL576426,,CCc1c2n(cn1)-c3ccccc3-c4ncnn4C2,,251.29,4.7,,1.5,3,85.9
CHEMBL602823,,CN(Cc1cc(c(c(c1)OC)OC)OC)c2ccc3c(c2)c(nc(n3)N)N,,369.42,8.9,,1.2,3,0.2
CHEMBL579154,,Cc1cc(nc(n1)NC(=N)Nc2ccccc2O)C,,257.29,8.6,9.7,0.1,2,1.5
CHEMBL606547,,CN1CCC[C@@H]1Cc2c[nH]c3c2cc(cc3)NS(=O)(=O)c4ccccc4Cl,,403.93,9.4,7.9,1.2,3,1.5
CHEMBL1084433,,c1cc2c(cc1CN3CCCCC3)OCO2,,219.28,8.8,,0.8,1,32.5
CHEMBL1086124,,c1cc2c(cc1CN3CCC4(C3)COC4)OCO2,,247.29,8.2,,0.8,1,22.5
CHEMBL1084560,,C[C@@H]1CCCN1CCc2ccc3c(c2)ccc(n3)c4cccnc4,,317.43,9.7,,1.6,3,0.1
CHEMBL1189679,,c1cc2c3c(c1)C(=O)N(C[C@H]3CCC2)[C@@H]4CN5CCC4CC5,PALONOSETRON,296.41,8,,1.9,1,1.6
CHEMBL1200338,,CC(C(C)(C)C)N/C(=N\C#N)/Nc1ccncc1.O,PINACIDIL HYDRATE,263.34,5.2,,1.7,1,46.9
CHEMBL1200347,,CC(C)[N+](C)(CCC(c1ccccc1)(c2ccccc2)C(=O)N)C(C)C.[I-],ISOPROPAMIDE IODIDE,480.43,,,1.2,2,57.4
CHEMBL1200413,,c1ccc2c(c1)CCCC2C3=NCCN3.Cl,TETRAHYDROZOLINE HYDROCHLORIDE,236.74,10.7,,-0.6,1,32.9
CHEMBL1200446,,CN(C)CCN(Cc1ccccc1)c2ccccn2.Cl,TRIPELENNAMINE HYDROCHLORIDE,291.82,7.8,,2,2,13.1
CHEMBL1200479,,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2.Cl,DICYCLOMINE HYDROCHLORIDE,345.95,8.6,,2.7,0,22
CHEMBL1200494,,c1cc(c(c(c1)Cl)CC(=O)NC(=N)N)Cl.Cl,GUANFACINE HYDROCHLORIDE,282.55,7.1,,1.7,1,7.3
CHEMBL1200600,,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@]2([C@@]4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O,FLUOROMETHOLONE,376.46,,,2.6,0,51.8
CHEMBL1200604,,CCN(Cc1ccncc1)C(=O)C(CO)c2ccccc2,TROPICAMIDE,284.35,5.2,,1.3,2,74.3
CHEMBL1200612,,CCCCOc1cc(c2ccccc2n1)C(=O)NCCN(CC)CC.Cl,DIBUCAINE HYDROCHLORIDE,379.92,8.6,12,2.7,2,3
CHEMBL1200709,,CCN(c1ccccc1C)C(=O)/C=C/C,CROTAMITON,203.28,,,2.6,1,85.2
CHEMBL1200745,,CC(C)NCC(COc1ccccc1OCC=C)O.Cl,OXPRENOLOL HYDROCHLORIDE,301.81,9.3,,0.2,1,29.8
CHEMBL1200791,,Cc1cc(c(c(c1CC2=NCCN2)C)O)C(C)(C)C.Cl,OXYMETAZOLINE HYDROCHLORIDE,296.84,10.3,11.1,0.1,1,65.4
CHEMBL1201052,,CN1CCCCC1CCN2c3ccccc3Sc4c2cc(cc4)S(=O)C.c1ccc(cc1)S(=O)(=O)O,MESORIDAZINE BESYLATE,544.75,9.2,,1.9,2,0.6
CHEMBL1201256,,CN(C)CCOc1ccc(cc1)CNC(=O)c2cc(c(c(c2)OC)OC)OC,TRIMETHOBENZAMIDE,388.46,8.6,,1.3,2,3.6
CHEMBL1204337,,CC(CCc1ccccc1)NC(C)C(c2ccc(cc2)O)O.Cl,NYLIDRIN HYDROCHLORIDE,335.87,9.1,10.4,1.5,2,17.8
CHEMBL1210030,,CCOc1cc(ccc1c2ccc(cc2)F)CN3CCC(CC3)NC(=O)c4cc(cnc4)C,,447.54,8,,4,3,0.3
CHEMBL1213460,,CCOC(=O)C1C(=O)Nc2ccc(cc2C(=N1)c3ccccc3F)Cl,ETHYL LOFLAZEPATE,360.77,3.5,9.9,2.6,2,81.9
CHEMBL1229908,,CCN(CC)C(=O)c1ccc(c(c1)OC)O,ETHAMIVAN,223.27,,8.7,1.3,1,63.1
CHEMBL1253697,,CN(C)Cc1c[nH]c2c1cc(cc2)Br,BROMOGRAMINE,253.14,8.5,,1.6,2,5.2
CHEMBL1255739,,CN(C)CCN(Cc1cccs1)c2ccccn2.Cl,METHAPYRILENE HYDROCHLORIDE,297.85,7.8,,1.4,2,14.2
CHEMBL1256322,,c1cc(nc(c1)Cl)N2CCC(CC2)N.Cl,,248.15,9.4,,0.3,1,13.2
CHEMBL1256696,,CCN(CC)CCOCCOC(=O)C1(CCCC1)c2ccccc2.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,CARBETAPENTANE CITRATE,525.59,8.8,,2.2,1,24
CHEMBL1256739,,Cc1cc(c(cc1OC(=O)C)C(C)C)OCCN(C)C.Cl,MOXISYLYTE HYDROCHLORIDE,315.84,8.5,,1.8,1,43.4
CHEMBL1256778,,CCCN1CCO[C@H]2[C@H]1COc3c2cc(cc3)O.Cl,,285.77,6.7,10.3,1.9,1,26.5
CHEMBL1256805,,CCN(CC)CCNC(=O)c1ccc(cc1)NC(=O)C.Cl,ACECAINIDE HYDROCHLORIDE,313.82,8.7,11.9,0.1,1,6.8
CHEMBL1256838,,CCCN(CCC)C1Cc2cc(c(cc2C1)OC)OC.C(=C\C(=O)O)\C(=O)O,,393.47,9.5,,1.6,1,14.3
