Compound ChEMBL ID and structure,,SMILES,Compound generic name, Molar mass (g/mol),Basic pKa,Acidic pKa,LogD,Number of aromatic rings,Melanin binding Fraction unbound (%)
CHEMBL1725500,,COc1ccccc1NC(=O)N2CCN(CC2)CCc3ccccc3,,339.43,7.4,11.5,2.7,2,18.2
CHEMBL1730793,,CCOc1ccccc1NC(=O)CC2C(=O)N(C(=N)S2)c3ccccc3,,369.44,5,6.1,2,2,24.4
CHEMBL1740022,,c1ccc(cc1)C2=CSC3=NCCN23,,202.28,8.7,,1.7,1,2.7
CHEMBL1740701,,Cc1cc(c2cc(ccc2n1)OC)Nc3ccccc3O,,280.32,8.2,9,2.4,3,15.7
CHEMBL1742420,,CCOC(=O)/N=C(/c1ccc(cc1)OCc2cccc(c2)COc3ccc(cc3)C(C)(C)c4ccc(cc4)O)\N,AMELUBANT,538.63,5.3,10.2,3.7,4,0.4
CHEMBL1782221,,CCCCCCCCCCCCCC[N+](C)(C)[O-],,257.46,5,,3.1,0,13.2
CHEMBL1818107,,c1ccc(cc1)c2ccc3c(c2)nc(nc3N)N,,236.27,7.1,,2.3,3,0.2
CHEMBL1875882,,c1ccc(cc1)C(=O)c2cccn2CC(=O)NCCCN3CCOCC3,,355.43,7.6,,1.6,2,20.9
CHEMBL1876082,,CC(C)NCC(c1ccc2ccccc2c1)O.Cl,PRONETALOLHYDROCHLORIDE,265.78,9.4,,1.1,2,14.6
CHEMBL1885110,,Cc1[nH]c(nn1)SCC(=O)Nc2ccccn2,,249.29,4.2,9.7,1.2,2,74.7
CHEMBL1904581,,Cc1nc2ccccc2c(=O)n1NC(=O)c3cc(c(c(c3)OC)OC)OC,,369.37,2.5,,1.9,2,51.8
CHEMBL1908307,,Cn1cc(c(=O)c2c1cc(cc2)F)S(=O)C,FLOSEQUINAN,239.27,2.3,,0.7,1,53.9
CHEMBL1940179,,CCc1cc2c(cc1N3CCN(CC3)C4CCC4)C(c5c(c6ccc(cc6[nH]5)C#N)C2=O)(C)C,,452.59,7.5,10.6,4.2,3,0.3
CHEMBL1945750,,Cc1nccn1CC(=O)c2ccccc2,,200.24,6.5,,1.6,2,20.2
CHEMBL1963131,,COc1ncc(cc1)[C@]2(CC[C@H](CC2)N3C[C@@H](CC3)NC(=O)CNC(=O)c4cc(ccc4)C(F)(F)F)O,,520.54,8.1,,1.7,2,1.7
CHEMBL1979576,,CN1CC2(C3CC4C5(C2C1C3CO4)c6ccccc6NC5=O)C=C,,322.4,7.3,10.5,1.2,1,28.9
CHEMBL1994889,,C[N+](C)(CCC=C1c2ccccc2CCc3c1cccc3)[O-].Cl,,329.86,4.8,,2.3,2,43.7
CHEMBL2068808,,CNC1(CCCCC1=O)c2ccccc2,,203.28,7.6,,1.7,1,72
CHEMBL2068839,,Cc1ccc(cc1)COC(=O)N2CC[C@@H]([C@@H](C2)F)CNc3ncccn3,CERC-301,358.41,3.9,,3.2,2,33.6
CHEMBL2103779,,CN1CC(=O)N=C1NC(=O)Nc2cccc(c2)Cl.O,FENOBAM HYDRATE,284.7,4.4,9.3,1.7,1,12.3
CHEMBL2104023,,C[C@@H]([C@@H](c1ccccc1)O)NCCC(=O)C2CCCCC2,ALIFEDRINE,289.41,8.7,,1.2,1,31.9
CHEMBL2104106,,CNCC12CCC(c3c1cccc3)c4c2cccc4.Cl,BENZOCTAMINE HYDROCHLORIDE,285.81,9.8,,1.3,2,25.2
CHEMBL2104298,,c1cc(ccc1C(=O)NCCCN2CCOCC2)Cl,EPROBEMIDE,282.77,7.4,,1.7,1,10.7
CHEMBL2104359,,C1CC(=O)N(C1)CC(=O)NNC(=O)CN2CCCC2=O,DUPRACETAM,282.3,,9.7,-0.4,0,81.4
CHEMBL2104451,,CN1c2ccc(cc2C(=NCC1CO)c3ccccc3Cl)Cl,TUCLAZEPAM,335.23,4.7,,3.4,2,18.1
CHEMBL2104633,,CCc1ccccc1n2c(nc3ccccc3c2=O)C,ETAQUALONE,264.32,2.9,,3,2,64.5
